Province,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Phetchabun,1037352,1042094,1026137,1032662,1040917,1049516,1040731,1036526,1036336,1040786,1063977,1001300,1002459,1002317,997531,996231,995125,996031,990807,993702,994397,995807,996986,995223,995331,994540,992451,981940,978372
Phetchaburi,441012,444444,447094,450040,453391,456527,456233,456893,459042,461339,461743,451160,453982,456681,456061,458975,461239,464033,466079,468874,471087,474192,478589,480652,482375,484294,485191,482193,482875
Phichit,589917,593178,592125,597202,601117,604039,598406,593811,591412,591953,602027,560639,558794,557831,554740,554112,553193,552690,549688,549395,548855,547543,545957,543482,541868,539374,536311,532310,529395
Phitsanulok,839273,848924,846630,853890,865408,868684,868138,865995,869566,867685,867320,841542,840970,844508,841683,843995,845561,849692,851357,854372,856376,858988,863404,865759,865368,866891,865247,849481,847384
Phra Nakhon Si Ayutthaya,691569,699400,706502,714656,721493,730740,730391,734011,741774,748243,751272,740578,746919,754595,760712,769126,775157,782096,787653,793509,797970,803599,808360,810320,813852,817441,820188,819088,820512
Phrae,491194,494355,493505,494192,494637,495722,492607,489590,486502,485121,482234,473399,471447,468373,465876,463477,462090,460756,458750,457607,456074,454083,452346,449810,447564,445090,441726,437350,434580
Phuket,194178,199574,207777,214633,221835,231206,241489,250596,261386,270438,278480,285862,292245,300737,315498,327006,335913,345067,353847,360905,369522,378364,386605,394169,402017,410211,416582,414471,418785
Prachin Buri,412540,421822,426639,432251,436956,441343,441162,444190,448476,452822,453948,446063,449621,453819,454988,459379,461854,466572,469652,473770,476167,479314,482195,484829,487544,491640,494680,493670,495325
Prachuap Khiri Khan,452235,456220,461016,463132,468880,473335,477190,478944,482719,488477,492480,479853,486796,494417,494588,500378,504063,509134,512568,517050,520271,525107,534719,539534,543979,548815,554116,550678,553171
Ranong,134751,137554,143397,147381,151868,155204,158185,160631,161724,163160,164711,176399,178122,179850,180787,182729,181754,183079,183849,182648,174776,177089,187536,189154,190399,191868,193370,194372,194573
Ratchaburi,783286,790143,798076,807164,813293,819360,817793,821603,825272,830275,834425,815177,823495,828931,831438,835861,835231,839075,842684,846631,850162,853217,867883,869823,871714,873518,873101,869313,868281
Rayong,463738,467359,477895,490137,504627,515008,513984,523518,536335,546570,556734,544069,559134,573785,583470,598664,612095,626402,637736,649275,661220,674393,688999,700223,711236,723316,734753,741524,751343
Roi Et,1254976,1282947,1291750,1302422,1310095,1321035,1320824,1317787,1319589,1322864,1322396,1310256,1310674,1310047,1308589,1307212,1308159,1309708,1305058,1308570,1308958,1308318,1308166,1307982,1307911,1307208,1305211,1298640,1296013
Sa Kaeo,494592,499222,507743,515453,521432,520668,531149,530621,534739,539107,541489,536247,536976,538343,539137,541425,542451,544100,545596,548342,550937,552187,556922,559017,561938,564092,566303,560925,561992
